Name,Artist,Popularity,img,Release date,Genre,Subgenre
Pop Out (feat. Lil Tjay),Polo G,84,https://i.scdn.co/image/ab67616d0000b273ae8b07ecdcf7aadefe00264f,2019-06-07,rap,hip hop
MIDDLE CHILD,J. Cole,86,https://i.scdn.co/image/ab67616d0000b2737f37a4001ae7d8be430bd91b,2019-01-23,rap,hip hop
High Fashion (feat. Mustard),Roddy Ricch,83,https://i.scdn.co/image/ab67616d0000b273600adbc750285ea1a8da249f,2019-12-06,rap,hip hop
Feel Good Inc.,Gorillaz,80,https://i.scdn.co/image/ab67616d0000b27319d85a472f328a6ed9b704cf,2005-05-23,rock,album rock
Save That Shit,Lil Peep,80,https://i.scdn.co/image/ab67616d0000b2734958dc3c8e7aa7db22f55af3,2017-08-15,rap,trap
Dancin (feat. Luvli) - Krono Remix,Aaron Smith,84,https://i.scdn.co/image/ab67616d0000b273f7a3a5656060030a0d24855c,2014-11-07,pop,post-teen pop
Fix You,Coldplay,81,https://i.scdn.co/image/ab67616d0000b2735f86467ff3b8221f3c9039b4,2005-06-07,pop,electropop
Hate Me (with Juice WRLD),Ellie Goulding,88,https://i.scdn.co/image/ab67616d0000b273dc854e032e8588d5e75eebc6,2019-06-26,pop,post-teen pop
The Nights,Avicii,80,https://i.scdn.co/image/ab67616d0000b2730ae4f4d42e4a09f3a29f64ad,2014-01-01,pop,dance pop
There's Nothing Holdin' Me Back,Shawn Mendes,53,https://i.scdn.co/image/ab67616d0000b273ea3ef7697cfd5705b8f47521,2017-04-20,pop,post-teen pop
Losing My Religion,R.E.M.,81,https://i.scdn.co/image/ab67616d0000b273e2dd4e821bcc3f70dc0c8ffd,1991-03-12,pop,post-teen pop
I.F.L.Y.,Bazzi,33,https://i.scdn.co/image/ab67616d0000b2733a376bd9b9b1f4b2686807db,2019-07-18,pop,post-teen pop
Moral of the Story,Ashe,53,https://i.scdn.co/image/ab67616d0000b273aea0d98794e91056c608e069,2019-02-14,pop,indie poptimism
Under the Bridge,Red Hot Chili Peppers,81,https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70,1991-09-24,rock,classic rock
Call You Mine,The Chainsmokers,39,https://i.scdn.co/image/ab67616d0000b2735e90ff76fd49a23f7333de76,2019-05-31,pop,dance pop
Californication,Red Hot Chili Peppers,81,https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595,1999-06-08,rock,classic rock
idontwannabeyouanymore,Billie Eilish,85,https://i.scdn.co/image/ab67616d0000b273a9f6c04ba168640b48aa5795,2017-12-22,r&b,urban contemporary
Happiest Year,Jaymes Young,65,https://i.scdn.co/image/ab67616d0000b2730e423d98a00610e237fe40ab,2019-07-12,pop,indie poptimism
My Oh My (feat. DaBaby),Camila Cabello,94,https://i.scdn.co/image/ab67616d0000b2735f53c0dbe5190a0af0fa28f3,2019-12-06,pop,post-teen pop
Love The Way You Lie,Eminem,82,https://i.scdn.co/image/ab67616d0000b273c08d5fa5c0f1a834acef5100,2010-06-18,latin,latin hip hop
Treat You Better,Shawn Mendes,11,https://i.scdn.co/image/ab67616d0000b2731376b4b16f4bfcba02dc571b,2017-04-20,pop,dance pop
Redbone,Childish Gambino,18,https://i.scdn.co/image/ab67616d0000b273b08b996d08001270adc8b555,2016-12-02,r&b,urban contemporary
Fantasias,Rauw Alejandro,92,https://i.scdn.co/image/ab67616d0000b273ca6183e9d0bfb66f996eefce,2019-08-29,pop,post-teen pop
Ric Flair Drip (& Metro Boomin),Offset,81,https://i.scdn.co/image/ab67616d0000b2730f206fe737d46f2f2d826d83,2017-10-30,rap,hip hop
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,91,https://i.scdn.co/image/ab67616d0000b27373304ce0653c7758dd94b259,2019-07-12,pop,post-teen pop
SUGAR,BROCKHAMPTON,88,https://i.scdn.co/image/ab67616d0000b27346f07fa4f28bf824840ddacb,2019-08-23,rap,hip hop
Chanel,Frank Ocean,82,https://i.scdn.co/image/ab67616d0000b273a0b780c23fc3c19bd412b234,2017-03-10,pop,electropop
EARFQUAKE,"Tyler, The Creator",84,https://i.scdn.co/image/ab67616d0000b2737005885df706891a3c182a57,2019-05-17,rap,hip hop
you were good to me,Jeremy Zucker,82,https://i.scdn.co/image/ab67616d0000b273d841ad4d4aa791514d7e9758,2019-05-03,r&b,hip pop
F.N,Lil Tjay,82,https://i.scdn.co/image/ab67616d0000b273d2fe0b3a495888636cbed083,2019-10-11,rap,hip hop
Young Dumb & Broke,Khalid,83,https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577,2017-04-27,pop,post-teen pop
Can I Call You Tonight?,Dayglow,25,https://i.scdn.co/image/ab67616d0000b273ccd63af052f7e438c05f6c94,2018-09-28,pop,indie poptimism
China,Anuel AA,93,https://i.scdn.co/image/ab67616d0000b2735fa6dc9fc261344044c301a9,2019-07-19,pop,dance pop
CITY OF ANGELS,24kGoldn,56,https://i.scdn.co/image/ab67616d0000b273fe9008022f3f54d81dcc8030,2019-11-22,rock,classic rock
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,81,https://i.scdn.co/image/ab67616d0000b273b3994c94dfb241923664bb4d,1983-01-21,pop,post-teen pop
Gangsta's Paradise,Coolio,80,https://i.scdn.co/image/ab67616d0000b2737632fe25cd368dc205927f0c,1995-11-07,pop,post-teen pop
One Dance,Drake,20,https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c,2016-05-06,pop,electropop
Just Give Me a Reason (feat. Nate Ruess),P!nk,80,https://i.scdn.co/image/ab67616d0000b2739d0f0d226987b449808e7b6f,2012-09-18,pop,dance pop
"Alone, Pt. II",Alan Walker,85,https://i.scdn.co/image/ab67616d0000b273153261ff7373a171c24ab9f9,2019-12-27,pop,dance pop
Con Calma,Daddy Yankee,87,https://i.scdn.co/image/ab67616d0000b273896ffcd42561c44fea2bae7b,2019-01-24,pop,dance pop
Heathens,Twenty One Pilots,81,https://i.scdn.co/image/ab67616d0000b2732ca3ba8f334ca5a5f0312efb,2016-06-16,pop,electropop
Someone To You,BANNERS,74,https://i.scdn.co/image/ab67616d0000b273d8fac444b26ac8c2e9ff1a48,2017-11-03,pop,indie poptimism
Suicidal,YNW Melly,90,https://i.scdn.co/image/ab67616d0000b2730f47d89f02cd58a168b8193e,2019-11-22,rap,hip hop
Heartless (feat. Morgan Wallen),Diplo,82,https://i.scdn.co/image/ab67616d0000b273d79c10cdf4a58309a37d195a,2019-08-16,pop,post-teen pop
Graduation (with Juice WRLD),benny blanco,82,https://i.scdn.co/image/ab67616d0000b2739e714501730245ec76623000,2019-08-30,pop,post-teen pop
11 PM,Maluma,86,https://i.scdn.co/image/ab67616d0000b273073bc2070f7fa02b2a6bda64,2019-05-17,latin,latin pop
New Rules,Dua Lipa,83,https://i.scdn.co/image/ab67616d0000b2736b915e407b70e121e06fe979,2017-06-02,pop,dance pop
You Need To Calm Down,Taylor Swift,86,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,2019-08-23,pop,post-teen pop
Wolves,Selena Gomez,82,https://i.scdn.co/image/ab67616d0000b273307910d4242c0d6b1fedf955,2017-10-25,pop,post-teen pop
IDGAF,Dua Lipa,82,https://i.scdn.co/image/ab67616d0000b2736b915e407b70e121e06fe979,2017-06-02,pop,post-teen pop
A Thousand Years,Christina Perri,79,https://i.scdn.co/image/ab67616d0000b2733dea4a2ccd58ad1f8e4dbb03,2011-10-18,pop,post-teen pop
emotions,iann dior,80,https://i.scdn.co/image/ab67616d0000b2739fc7b0fa3ee822614a14dd2e,2019-05-22,rap,trap
Whatever It Takes,Imagine Dragons,81,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,2017-06-23,pop,post-teen pop
Adicto (with Anuel AA & Ozuna),Tainy,90,https://i.scdn.co/image/ab67616d0000b27354e5aec17a447066f52874fb,2019-08-22,pop,dance pop
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,88,https://i.scdn.co/image/ab67616d0000b273caf82abb2338880577e472be,2019-07-25,pop,post-teen pop
bury a friend,Billie Eilish,87,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,2019-03-29,pop,indie poptimism
Takeaway,The Chainsmokers,85,https://i.scdn.co/image/ab67616d0000b2735e90ff76fd49a23f7333de76,2019-12-06,pop,post-teen pop
you should see me in a crown,Billie Eilish,84,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,2019-03-29,pop,indie poptimism
Empty,Juice WRLD,80,https://i.scdn.co/image/ab67616d0000b273af149eb4002f65f83afc63c4,2019-03-08,rap,trap
Post Malone (feat. RANI),Sam Feldt,83,https://i.scdn.co/image/ab67616d0000b27354de16ac6dc5346bfc1187f5,2019-05-24,pop,dance pop
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,29,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,2019-04-26,pop,indie poptimism
If I Can't Have You,Shawn Mendes,84,https://i.scdn.co/image/ab67616d0000b273625acd26e0e455312667565f,2019-05-03,pop,indie poptimism
Bad Romance,Lady Gaga,78,https://i.scdn.co/image/ab67616d0000b2735c9890c0456a3719eeecd8aa,2009-11-05,pop,post-teen pop
Summer,Calvin Harris,79,https://i.scdn.co/image/ab67616d0000b273063c048e9ef6bd021b744756,2014-10-31,pop,electropop
Devil Eyes,Hippie Sabotage,81,https://i.scdn.co/image/ab67616d0000b273ecdad1ee6d530eb965d7c51e,2016-02-05,pop,electropop
TiK ToK,Kesha,80,https://i.scdn.co/image/ab67616d0000b2737a6339d6ddfd579f77559b3c,2010-01-01,pop,dance pop
Last Resort,Papa Roach,79,https://i.scdn.co/image/ab67616d0000b273985bf5ede2fe4a048ee85f28,2001-04-25,rock,permanent wave
Best Friend,Rex Orange County,81,https://i.scdn.co/image/ab67616d0000b27333a6b45fa8354efe37633964,2017-01-25,pop,indie poptimism
Umbrella,Rihanna,80,https://i.scdn.co/image/ab67616d0000b273f9f27162ab1ed45b8d7a7e98,2008-06-02,pop,post-teen pop
"i hate u, i love u (feat. olivia o'brien)",gnash,4,https://i.scdn.co/image/ab67616d0000b27308862f843ea27f44f8e8cbd8,2016-02-17,pop,indie poptimism
"Happy - From ""Despicable Me 2""",Pharrell Williams,79,https://i.scdn.co/image/ab67616d0000b273e8107e6d9214baa81bb79bba,2014-03-03,pop,post-teen pop
The Real Slim Shady,Eminem,10,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42,2005-12-06,rap,gangster rap
Viva La Vida,Coldplay,78,https://i.scdn.co/image/ab67616d0000b2733d9d867b880ebf840fceec69,2008-05-26,pop,post-teen pop
You Give Love A Bad Name,Bon Jovi,16,https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac,1986-01-01,pop,post-teen pop
Wake Me Up,Avicii,84,https://i.scdn.co/image/ab67616d0000b273e14f11f796cef9f9a82691a7,2013-01-01,pop,dance pop
Low (feat. T-Pain),Flo Rida,79,https://i.scdn.co/image/ab67616d0000b273f9bd7a6c772ac496015be3f8,2008-03-17,pop,post-teen pop
She Will Be Loved - Radio Mix,Maroon 5,80,https://i.scdn.co/image/ab67616d0000b27392f2d790c6a97b195f66d51e,2002,pop,post-teen pop
Let Me Love You,DJ Snake,81,https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc,2016-08-05,pop,dance pop
Can't Stop,Red Hot Chili Peppers,80,https://i.scdn.co/image/ab67616d0000b273de1af2785a83cc660155a0c4,2002-07-09,rock,permanent wave
Sugar,Maroon 5,12,https://i.scdn.co/image/ab67616d0000b273442b53773d50e1b5369bb16c,2014-09-02,pop,post-teen pop
